merchant_name,description,amount,category
Starbucks,Coffee and muffin breakfast,10.50,Food & Dining
Subway,Chicken sub meal,9.75,Food & Dining
Pizza Hut,Large pepperoni pizza,22.00,Food & Dining
McDonald's,Big Mac lunch combo,14.25,Food & Dining
KFC,Fried chicken bucket,16.00,Food & Dining
Dominos,Pizza delivery order,20.00,Food & Dining
Burger King,Whopper combo meal,13.75,Food & Dining
Chipotle,Burrito bowl with chicken,11.25,Food & Dining
Taco Bell,Tacos and nachos,8.99,Food & Dining
Panera Bread,Sandwich and soup combo,12.50,Food & Dining
Olive Garden,Italian pasta dinner,32.00,Food & Dining
Chilis,Appetizers and drinks,28.00,Food & Dining
Shake Shack,Burgers and fries,15.00,Food & Dining
Dunkin Donuts,Morning latte and bagel,6.75,Food & Dining
Coffee Bean,Cappuccino and croissant,8.50,Food & Dining
Five Guys,Cheeseburger meal,14.00,Food & Dining
Cold Stone,Ice cream dessert,7.25,Food & Dining
Subway,Veggie delight sandwich,9.00,Food & Dining
Dominos,Cheese pizza,18.50,Food & Dining
McDonald's,Breakfast pancakes,10.00,Food & Dining
Panda Express,Chinese takeout,13.50,Food & Dining
Starbucks,Cold brew and cake,9.75,Food & Dining
Pizza Hut,Family pizza combo,28.00,Food & Dining
Chipotle,Veggie burrito,10.50,Food & Dining
Panera Bread,Bagel breakfast,7.00,Food & Dining
Burger King,Chicken fries,11.00,Food & Dining
Dunkin Donuts,Iced coffee,5.50,Food & Dining
Shake Shack,Vanilla shake,6.50,Food & Dining
KFC,Grilled chicken meal,15.50,Food & Dining
Chilis,Tex mex dinner,30.00,Food & Dining
Olive Garden,Lunch pasta deal,18.50,Food & Dining
Taco Bell,Cheesy tacos,9.50,Food & Dining
Subway,Footlong combo,10.00,Food & Dining
Cold Stone,Sundae treat,8.00,Food & Dining
Five Guys,Bacon burger,16.00,Food & Dining
Panera Bread,Salad bowl,12.00,Food & Dining
Pizza Hut,Cheese burst pizza,23.00,Food & Dining
Burger King,Double whopper,13.50,Food & Dining
Starbucks,Mocha frappe,7.50,Food & Dining
KFC,Family dinner pack,25.00,Food & Dining
Dunkin Donuts,Donut box,12.00,Food & Dining
Chipotle,Guacamole bowl,11.75,Food & Dining
Dominos,Veggie pizza,21.00,Food & Dining
McDonald's,Happy meal,8.00,Food & Dining
Olive Garden,Lasagna dinner,27.00,Food & Dining
Panera Bread,Avocado sandwich,11.50,Food & Dining
Five Guys,Milkshake,6.75,Food & Dining
Cold Stone,Family ice cream,12.50,Food & Dining
Burger King,Large fries,4.50,Food & Dining
KFC,Popcorn chicken,10.50,Food & Dining
Subway,Turkey sub,9.50,Food & Dining
Starbucks,Espresso and cookie,8.50,Food & Dining
Pizza Hut,Stuffed crust,25.00,Food & Dining
Dominos,Medium pizza offer,17.00,Food & Dining
Uber,Ride to office,14.00,Transportation
Lyft,Airport drop,45.00,Transportation
Shell Gas Station,Fuel refill,60.00,Transportation
BP Gas,Car gasoline,55.00,Transportation
Chevron,Full tank,58.00,Transportation
Parking Garage,Parking downtown,12.00,Transportation
Parking Meter,Hourly street parking,6.00,Transportation
Metro Card,Monthly metro pass,100.00,Transportation
Toll Road,Expressway toll,8.50,Transportation
Car Wash,Full car wash,25.00,Transportation
Uber,Ride to airport,32.00,Transportation
Lyft,Evening commute,15.00,Transportation
Shell Gas Station,Diesel fill,52.00,Transportation
BP Gas,Petrol top-up,40.00,Transportation
Chevron,Quick fuel stop,50.00,Transportation
Parking Garage,Office parking,20.00,Transportation
Metro Card,Daily pass,10.00,Transportation
Uber,Late night ride,22.00,Transportation
Lyft,Shared ride home,10.50,Transportation
Shell Gas Station,Fuel payment,47.00,Transportation
Uber,Short trip,8.00,Transportation
BP Gas,Car refuel,45.00,Transportation
Car Wash,Exterior wash,12.00,Transportation
Parking Meter,Parking fee,5.00,Transportation
Metro Card,Train ticket,6.50,Transportation
Chevron,Fuel stop,42.00,Transportation
Uber,Weekend drive,18.00,Transportation
BP Gas,Fuel tank refill,49.00,Transportation
Lyft,Work commute,13.00,Transportation
Parking Garage,City parking,25.00,Transportation
Uber,Long route ride,40.00,Transportation
Chevron,Car fuel payment,54.00,Transportation
Shell Gas Station,Full fill-up,53.00,Transportation
